new-foil1_reworked
1.000000	0.000000
0.950000	0.010760
0.900000	0.021200
0.850000	0.031640
0.800000	0.042070
0.750000	0.052510
0.700000	0.062850
0.650000	0.072580
0.600000	0.081340
0.550000	0.088850
0.500000	0.094770
0.450000	0.098560
0.400000	0.100110
0.350000	0.099200
0.300000	0.096100
0.250000	0.090990
0.200000	0.083810
0.150000	0.074150
0.100000	0.061340
0.075000	0.053200
0.050000	0.043290
0.025000	0.030080
0.012500	0.020900
0.007500	0.016060
0.005000	0.013130
0.002500	0.009180
0.000000	0.000000
0.002500	-0.007920
0.005000	-0.010730
0.007500	-0.012660
0.012500	-0.015400
0.025000	-0.020070
0.050000	-0.026230
0.075000	-0.030820
0.100000	-0.034610
0.150000	-0.040440
0.200000	-0.044590
0.250000	-0.047450
0.300000	-0.049227
0.350000	-0.050195
0.400000	-0.050591
0.450000	-0.050553
0.500000	-0.050114
0.545370	-0.049300
0.595650	-0.047720
0.646340	-0.045090
0.697590	-0.041100
0.748700	-0.035020
0.799270	-0.027430
0.849620	-0.019150
0.899840	-0.010970
0.949960	-0.004050
1.000000	0.000000
