1.000000	0.000000
0.993844	0.000868
0.975528	0.003413
0.945503	0.007466
0.904509	0.012775
0.853553	0.019032
0.793893	0.025905
0.726995	0.033046
0.654509	0.040093
0.578217	0.046654
0.500000	0.052310
0.421783	0.056617
0.345492	0.059139
0.273005	0.059504
0.206107	0.057454
0.146447	0.052899
0.095492	0.045929
0.054497	0.036798
0.024472	0.025862
0.006156	0.013496
0.000000	0.000000
0.006156	-0.013496
0.024472	-0.025862
0.054497	-0.036798
0.095492	-0.045929
0.146447	-0.052899
0.206107	-0.057454
0.273005	-0.059504
0.345492	-0.059139
0.421783	-0.056617
0.500000	-0.052310
0.578217	-0.046654
0.654509	-0.040093
0.726995	-0.033046
0.793893	-0.025905
0.853553	-0.019032
0.904509	-0.012775
0.945503	-0.007466
0.975528	-0.003413
0.993844	-0.000868
1.000000	0.000000
